nom|codeDepartement|nomRegion|populationTotale
Le Perreux-sur-Marne|11|Île-de-France|34017
Saint-Maur-des-Fossés|11|Île-de-France|75833
Sucy-en-Brie|11|Île-de-France|26575
Thiais|11|Île-de-France|29295
Villejuif|11|Île-de-France|55805
Villeneuve-Saint-Georges|11|Île-de-France|33135
Villiers-sur-Marne|11|Île-de-France|29407
Vincennes|11|Île-de-France|50300
Vitry-sur-Seine|11|Île-de-France|93317
Argenteuil|11|Île-de-France|112064
Bezons|11|Île-de-France|29216
Cergy|11|Île-de-France|64451
Eaubonne|11|Île-de-France|25514
Ermont|11|Île-de-France|29400
Franconville|11|Île-de-France|36349
Garges-lès-Gonesse|11|Île-de-France|42821
Gonesse|11|Île-de-France|26556
Goussainville|11|Île-de-France|31167
Herblay|11|Île-de-France|29614
Pontoise|11|Île-de-France|31880
Sannois|11|Île-de-France|27118
Sarcelles|11|Île-de-France|58332
Taverny|11|Île-de-France|26541
Villiers-le-Bel|11|Île-de-France|27519
Les Abymes|01|Guadeloupe|54818
Baie-Mahault|01|Guadeloupe|31338
Le Gosier|01|Guadeloupe|27023
Fort-de-France|02|Martinique|82030
Le Lamentin|02|Martinique|40920
Cayenne|03|Guyane|60947
Kourou|03|Guyane|26726
Matoury|03|Guyane|32768
Remire-Montjoly|03|Guyane|26170
Saint-Laurent-du-Maroni|03|Guyane|44130
Le Port|04|La Réunion|35141
La Possession|04|La Réunion|33337
Saint-André|04|La Réunion|56088
Saint-Benoît|04|La Réunion|38466
Saint-Denis|04|La Réunion|149337
Saint-Joseph|04|La Réunion|38167
Saint-Leu|04|La Réunion|34160
Saint-Louis|04|La Réunion|53832
Saint-Paul|04|La Réunion|106920
Saint-Pierre|04|La Réunion|85059
Sainte-Marie|04|La Réunion|33587
Le Tampon|04|La Réunion|78366
